Time;Px;Py;Pz;Vx;Vy;Vz;V;Ax;Ay;Az;A
4,2735E-05;-0,9983097;2,510799;-2,978711;0,9999957;18,69799;499,6481;499,998840332049;-0,09999958;-11,6798;-49,96481;51,3118920700931
0,000127387;-0,9949616;2,512382;-2,936541;0,9999872;18,697;499,6439;499,9945948967;-0,09999873;-11,6797;-49,96439;51,3114571770884
0,000174375;-0,9931031;2,51326;-2,913134;0,9999825;18,69645;499,6415;499,992226140848;-0,09999826;-11,67964;-49,96415;51,3112142834451
0,000208093;-0,9917694;2,513891;-2,896337;0,9999792;18,69606;499,6399;499,990534152316;-0,09999792;-11,67961;-49,96399;51,3110419423196
0,00024189;-0,9904327;2,514523;-2,879501;0,9999758;18,69566;499,6382;499,988811596387;-0,09999758;-11,67957;-49,96382;51,3108696011796
0,00027486;-0,9891287;2,515139;-2,863077;0,9999725;18,69528;499,6365;499,98715038986;-0,09999725;-11,67953;-49,96365;51,3107009746195
0,000308872;-0,9877835;2,515775;-2,846134;0,9999691;18,69488;499,6348;499,985458259223;-0,09999691;-11,67949;-49,96348;51,3105249189286
0,000349752;-0,9861666;2,516539;-2,82577;0,999965;18,6944;499,6328;499,983397106662;-0,09999651;-11,67944;-49,96328;51,3103134784538
0,000384027;-0,984811;2,51718;-2,808697;0,9999616;18,694;499,631;499,981643912845;-0,09999616;-11,6794;-49,96311;51,310140920235
0,000417237;-0,9834975;2,517801;-2,792153;0,9999583;18,69361;499,6294;499,979982564473;-0,09999583;-11,67936;-49,96294;51,3099685791095
0,000451301;-0,9821503;2,518437;-2,775185;0,9999549;18,69322;499,6277;499,978259938588;-0,09999549;-11,67932;-49,96277;51,3097923063398
0,000485125;-0,9808125;2,51907;-2,758336;0,9999515;18,69282;499,626;499,976567809104;-0,09999515;-11,67928;-49,9626;51,3096199652143
0,000527729;-0,9791275;2,519866;-2,737113;0,9999472;18,69232;499,6239;499,974414527367;-0,09999473;-11,67923;-49,96239;51,3094006614365
0,000608004;-0,9759526;2,521367;-2,697125;0,9999392;18,69139;499,6199;499,970384427984;-0,09999392;-11,67914;-49,96199;51,3089891412186
0,000641598;-0,9746239;2,521995;-2,680391;0,9999359;18,69099;499,6182;499,968692442256;-0,09999359;-11,6791;-49,96182;51,3088168000931
0,000685663;-0,9728811;2,522818;-2,658441;0,9999315;18,69048;499,616;499,966477527336;-0,09999315;-11,67905;-49,9616;51,3085933475778
0,000722412;-0,9714277;2,523505;-2,640136;0,9999278;18,69005;499,6141;499,964601209542;-0,09999277;-11,679;-49,96141;51,3084015653098
0,000761212;-0,9698932;2,52423;-2,620809;0,9999239;18,6896;499,6122;499,962662972368;-0,09999239;-11,67896;-49,96122;51,3082056343042
0,0007974691;-0,9684592;2,524908;-2,602748;0,9999202;18,68917;499,6104;499,960847861498;-0,09999203;-11,67892;-49,96104;51,3080175666162
0,0009518961;-0,9623517;2,527794;-2,525826;0,9999048;18,68737;499,6027;499,953064848492;-0,09999048;-11,67874;-49,96027;51,3072261964133
0,001021112;-0,9596143;2,529087;-2,491348;0,9998979;18,68656;499,5992;499,949558112258;-0,09998979;-11,67866;-49,95992;51,3068697192441
0,001052793;-0,9583614;2,529679;-2,475568;0,9998947;18,68619;499,5977;499,947988969807;-0,09998947;-11,67862;-49,95977;51,3067091730368
0,001091925;-0,9568138;2,530411;-2,456076;0,9998908;18,68573;499,5957;499,946020096217;-0,09998909;-11,67857;-49,95957;51,3065055958506
0,001126819;-0,9554338;2,531062;-2,438695;0,9998873;18,68533;499,5939;499,944236054502;-0,09998874;-11,67853;-49,9594;51,3063291059875
0,001169905;-0,9537298;2,531868;-2,417233;0,999883;18,68482;499,5918;499,942082492615;-0,0999883;-11,67848;-49,95918;51,3061058705655
0,001203334;-0,9524078;2,532492;-2,400582;0,9998797;18,68443;499,5901;499,94039065309;-0,09998797;-11,67844;-49,95901;51,3059372439909
0,00124207;-0,9508759;2,533216;-2,381288;0,9998758;18,68398;499,5882;499,9384524908;-0,09998758;-11,6784;-49,95882;51,3057375984344
0,001275634;-0,9495485;2,533843;-2,36457;0,9998724;18,68359;499,5865;499,936760509173;-0,09998725;-11,67836;-49,95865;51,305565257309
0,001307449;-0,9482902;2,534437;-2,348723;0,9998693;18,68322;499,5849;499,935160800799;-0,09998693;-11,67832;-49,95849;51,305400779472
